epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,1232.58,0.49209,0.36996,0.00853,0.94775,0.93709,0.9761,0.93292,0.27264,0.1593,0.00655,0.000349331,0.000349331,0.000349331
43,1261.03,0.51239,0.37412,0.00926,0.9572,0.92064,0.97182,0.92158,0.27215,0.17558,0.00668,0.00034351,0.00034351,0.00034351
44,1288.76,0.52194,0.38343,0.00944,0.95608,0.9323,0.97336,0.91743,0.31228,0.17789,0.00795,0.000337688,0.000337688,0.000337688
45,1317.04,0.54043,0.39018,0.00959,0.94086,0.93939,0.96557,0.91394,0.27136,0.18826,0.00658,0.000331867,0.000331867,0.000331867
46,1345.21,0.50706,0.35243,0.00961,0.95931,0.91731,0.96619,0.9153,0.26591,0.18012,0.0065,0.000326046,0.000326046,0.000326046
47,1372.79,0.4996,0.36698,0.00876,0.94777,0.94762,0.97211,0.92793,0.25085,0.15945,0.00604,0.000320225,0.000320225,0.000320225
48,1400.17,0.50464,0.35621,0.00899,0.93834,0.94451,0.97272,0.93029,0.25035,0.16676,0.00608,0.000314404,0.000314404,0.000314404
49,1427.97,0.50143,0.33594,0.0097,0.9598,0.94552,0.97803,0.93314,0.27576,0.16611,0.00678,0.000308582,0.000308582,0.000308582
50,1457.03,0.48131,0.33697,0.00856,0.93684,0.96707,0.97523,0.92953,0.26943,0.16128,0.00671,0.000302761,0.000302761,0.000302761
51,1485.38,0.50091,0.37342,0.00866,0.95699,0.93928,0.97932,0.93326,0.26946,0.16259,0.00656,0.00029694,0.00029694,0.00029694
52,1515.06,0.48712,0.33107,0.00862,0.95227,0.94708,0.97895,0.9282,0.25194,0.16149,0.00597,0.000291119,0.000291119,0.000291119
53,1543.62,0.48697,0.3374,0.00821,0.95131,0.94499,0.97703,0.92987,0.26459,0.16251,0.00644,0.000285298,0.000285298,0.000285298
54,1571.7,0.46126,0.30449,0.0083,0.95969,0.94218,0.9802,0.93908,0.23408,0.14906,0.00551,0.000279476,0.000279476,0.000279476
55,1600.85,0.45624,0.31059,0.00798,0.95519,0.94882,0.97917,0.93625,0.23904,0.14692,0.0058,0.000273655,0.000273655,0.000273655
56,1629.21,0.45302,0.29773,0.00819,0.963,0.94712,0.9787,0.93833,0.22942,0.14671,0.00545,0.000267834,0.000267834,0.000267834
57,1656.71,0.47097,0.32354,0.00847,0.96387,0.93109,0.97946,0.93925,0.24186,0.15615,0.00588,0.000262013,0.000262013,0.000262013
58,1685.7,0.43608,0.30388,0.00761,0.95982,0.9426,0.98156,0.94046,0.2446,0.15329,0.00592,0.000256192,0.000256192,0.000256192
59,1714.49,0.4319,0.28768,0.00795,0.95176,0.95495,0.9809,0.93853,0.22864,0.14617,0.00538,0.00025037,0.00025037,0.00025037
60,1742.46,0.43946,0.30065,0.00767,0.95202,0.95779,0.98057,0.94166,0.22647,0.14194,0.00533,0.000244549,0.000244549,0.000244549
61,1771.75,0.45663,0.30702,0.00798,0.94723,0.9532,0.98295,0.93877,0.22479,0.14635,0.00534,0.000238728,0.000238728,0.000238728
62,1800.46,0.42947,0.31428,0.00749,0.95989,0.9487,0.977,0.93702,0.23676,0.14656,0.00571,0.000232907,0.000232907,0.000232907
63,1828.49,0.44589,0.31278,0.00762,0.96,0.95078,0.98247,0.94655,0.21929,0.13298,0.00523,0.000227086,0.000227086,0.000227086
64,1857.87,0.44438,0.28609,0.00819,0.96126,0.93742,0.98057,0.9427,0.23586,0.14847,0.0057,0.000221264,0.000221264,0.000221264
65,1885.03,0.4497,0.29292,0.00773,0.95756,0.95225,0.98196,0.94317,0.22337,0.14816,0.0054,0.000215443,0.000215443,0.000215443
66,1912.96,0.43399,0.30112,0.00781,0.93615,0.96329,0.98,0.94155,0.21867,0.14957,0.00531,0.000209622,0.000209622,0.000209622
67,1940.67,0.4051,0.29816,0.00713,0.96089,0.94036,0.97496,0.9386,0.22162,0.15131,0.00527,0.000203801,0.000203801,0.000203801
68,1969.26,0.4484,0.30873,0.00796,0.95015,0.95137,0.97613,0.9395,0.22237,0.13068,0.00545,0.00019798,0.00019798,0.00019798
69,1998,0.42235,0.27612,0.00722,0.95271,0.95403,0.98232,0.94255,0.21579,0.13936,0.00513,0.000192158,0.000192158,0.000192158
70,2026.24,0.42546,0.29817,0.00733,0.95816,0.95754,0.98238,0.93811,0.22694,0.13986,0.00544,0.000186337,0.000186337,0.000186337
71,2053.53,0.44012,0.30047,0.00748,0.95818,0.94959,0.98108,0.93917,0.22597,0.13498,0.00534,0.000180516,0.000180516,0.000180516
72,2080.98,0.42505,0.28979,0.00737,0.96015,0.95068,0.97895,0.94104,0.22169,0.13439,0.00524,0.000174695,0.000174695,0.000174695
73,2108.83,0.42539,0.28242,0.00742,0.95755,0.95982,0.97914,0.94109,0.21885,0.13507,0.00526,0.000168874,0.000168874,0.000168874
74,2136.77,0.40803,0.25694,0.00751,0.95911,0.94091,0.97856,0.94343,0.20747,0.1381,0.00484,0.000163052,0.000163052,0.000163052
75,2164.95,0.40875,0.25923,0.00728,0.96117,0.94935,0.97996,0.94642,0.1983,0.13119,0.00457,0.000157231,0.000157231,0.000157231
76,2193.6,0.4002,0.25707,0.00726,0.95581,0.95073,0.98016,0.946,0.2098,0.1306,0.0049,0.00015141,0.00015141,0.00015141
77,2221.93,0.39769,0.26372,0.00706,0.96141,0.95299,0.97955,0.94511,0.19475,0.12449,0.00448,0.000145589,0.000145589,0.000145589
78,2249.45,0.39516,0.2528,0.0068,0.94979,0.96832,0.98228,0.94666,0.1965,0.12968,0.00447,0.000139768,0.000139768,0.000139768
79,2278.66,0.38475,0.2446,0.00686,0.95652,0.96106,0.98054,0.94619,0.1995,0.12454,0.00465,0.000133946,0.000133946,0.000133946
80,2306.31,0.40328,0.26088,0.00693,0.95742,0.96598,0.97856,0.94436,0.19799,0.12959,0.00457,0.000128125,0.000128125,0.000128125
81,2334.16,0.37408,0.23708,0.00673,0.96947,0.95454,0.98184,0.9477,0.18986,0.12895,0.00434,0.000122304,0.000122304,0.000122304
82,2362.71,0.3914,0.24709,0.00715,0.96364,0.95667,0.98089,0.94676,0.19824,0.13483,0.00456,0.000116483,0.000116483,0.000116483
83,2390.99,0.37674,0.24128,0.00644,0.9655,0.94932,0.97918,0.94664,0.18904,0.12807,0.0043,0.000110662,0.000110662,0.000110662
84,2419.7,0.37518,0.23441,0.00655,0.95107,0.96384,0.97705,0.94474,0.19399,0.13343,0.00444,0.00010484,0.00010484,0.00010484
85,2448.04,0.38114,0.24312,0.00675,0.95491,0.96262,0.97688,0.94263,0.19348,0.12891,0.00442,9.90192e-05,9.90192e-05,9.90192e-05
86,2475.58,0.37509,0.22897,0.00656,0.97007,0.9534,0.97878,0.94481,0.18963,0.1262,0.00428,9.3198e-05,9.3198e-05,9.3198e-05
87,2503.12,0.38732,0.23893,0.00682,0.96148,0.96414,0.97771,0.94331,0.18846,0.12349,0.00426,8.73768e-05,8.73768e-05,8.73768e-05
88,2531.2,0.37749,0.24282,0.00639,0.96349,0.95862,0.97824,0.94397,0.18928,0.12682,0.00435,8.15556e-05,8.15556e-05,8.15556e-05
89,2559.07,0.37976,0.24402,0.00654,0.95722,0.9584,0.97787,0.94449,0.18715,0.13307,0.00428,7.57344e-05,7.57344e-05,7.57344e-05
90,2587.35,0.3646,0.24082,0.00643,0.95847,0.95867,0.97738,0.9426,0.18808,0.13508,0.00437,6.99132e-05,6.99132e-05,6.99132e-05
91,2617.43,0.18809,0.11698,0.00456,0.96029,0.9516,0.97982,0.94321,0.19495,0.1338,0.00444,6.4092e-05,6.4092e-05,6.4092e-05
92,2645.49,0.18125,0.1105,0.00439,0.95624,0.9566,0.97985,0.94403,0.19624,0.12976,0.0045,5.82708e-05,5.82708e-05,5.82708e-05
93,2672.49,0.17998,0.10683,0.00441,0.96815,0.94444,0.97935,0.94429,0.20202,0.13134,0.00468,5.24496e-05,5.24496e-05,5.24496e-05
94,2698.85,0.17439,0.11315,0.00413,0.96766,0.9449,0.98046,0.94672,0.19073,0.11981,0.00436,4.66284e-05,4.66284e-05,4.66284e-05
95,2726,0.17213,0.09466,0.00426,0.96246,0.95509,0.98271,0.94958,0.18759,0.12332,0.00428,4.08072e-05,4.08072e-05,4.08072e-05
96,2754.07,0.17709,0.10385,0.004,0.95957,0.96014,0.98102,0.94725,0.19121,0.12518,0.00443,3.4986e-05,3.4986e-05,3.4986e-05
97,2781.97,0.16445,0.09594,0.00382,0.96295,0.95949,0.98101,0.94975,0.18163,0.12419,0.00409,2.91648e-05,2.91648e-05,2.91648e-05
98,2810.62,0.17034,0.09186,0.00397,0.9668,0.95828,0.98076,0.94827,0.18592,0.12349,0.0042,2.33436e-05,2.33436e-05,2.33436e-05
99,2837.54,0.1608,0.09233,0.00375,0.96213,0.95394,0.98046,0.94738,0.186,0.12969,0.00419,1.75224e-05,1.75224e-05,1.75224e-05
100,2864.05,0.16025,0.09229,0.00371,0.96569,0.95757,0.98073,0.94759,0.18334,0.12432,0.00413,1.17012e-05,1.17012e-05,1.17012e-05
